,ngay,KLDichRong,GiaTriGiaoDichRong,ThayDoi,KhoiLuongMua,GiaTriMua,KhoiLuongBan,GiaTriBan,symbol  
13,17/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

14,16/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

15,15/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

16,14/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

17,11/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

18,10/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

19,09/06/2021,0 ,0 ,0 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

0,08/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

1,07/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

2,04/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

3,03/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

4,02/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

5,01/06/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

6,31/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

7,28/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

8,27/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

9,26/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

10,25/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

11,24/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

12,21/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

13,20/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

14,19/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

15,18/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

16,17/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

17,14/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

18,13/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

19,12/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

0,11/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

1,10/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

2,07/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

3,06/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

4,05/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

5,04/05/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

6,29/04/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

7,28/04/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

8,27/04/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

9,26/04/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

10,23/04/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

11,22/04/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

12,20/04/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

13,19/04/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

14,16/04/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

15,14/04/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

16,13/04/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

17,12/04/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

18,09/04/2021,0 ,0 ,4.9002 (-18.33 %)   ,0 ,0 ,0 ,0 ,HLR

19,08/04/2021,0 ,0 ,0 (0.00 %)   ,0 ,0 ,0 ,0 ,HLR

